algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
2,sm_86,1024,4096,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.4134,0.674203,1.63087,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.421353,0.674191,1.60006,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.456144,0.677039,1.48427,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.533518,0.674223,1.26373,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.527365,0.674178,1.27839,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.528535,0.67416,1.27553,0
2,sm_86,768,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.115495,0.199145,1.72428,0
2,sm_86,768,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.11925,0.199233,1.67072,0
2,sm_86,768,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.132843,0.199136,1.49904,0
2,sm_86,768,768,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.144916,0.199249,1.37493,0
2,sm_86,768,768,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.147377,0.199164,1.35139,0
2,sm_86,768,768,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.152431,0.199252,1.30717,0
2,sm_86,3072,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.393068,0.696604,1.77223,0
2,sm_86,3072,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.416493,0.696606,1.67255,0
2,sm_86,3072,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.477354,0.696617,1.45933,0
2,sm_86,3072,768,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.536774,0.696611,1.29777,0
2,sm_86,3072,768,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.543942,0.696548,1.28056,0
2,sm_86,3072,768,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.570313,0.696612,1.22146,0
2,sm_86,768,3072,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.423495,0.727428,1.71768,0
2,sm_86,768,3072,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.432909,0.727604,1.68073,0
2,sm_86,768,3072,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.477632,0.727478,1.52309,0
2,sm_86,768,3072,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.54962,0.727403,1.32346,0
2,sm_86,768,3072,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.548684,0.727473,1.32585,0
2,sm_86,768,3072,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.556884,0.727429,1.30625,0
2,sm_86,1024,1024,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.185236,0.382411,2.06445,0
2,sm_86,1024,1024,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.194743,0.38241,1.96367,0
2,sm_86,1024,1024,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.218277,0.382628,1.75294,0
2,sm_86,1024,1024,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.239671,0.382267,1.59496,0
2,sm_86,1024,1024,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.246442,0.382292,1.55125,0
2,sm_86,1024,1024,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.254816,0.382474,1.50098,0
2,sm_86,4096,1024,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.674251,1.20513,1.78737,0
2,sm_86,4096,1024,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.713383,1.20519,1.6894,0
2,sm_86,4096,1024,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.815683,1.20517,1.4775,0
2,sm_86,4096,1024,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.923452,1.20531,1.30522,0
2,sm_86,4096,1024,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.937411,1.20512,1.28558,0
2,sm_86,4096,1024,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.99437,1.20512,1.21195,0
2,sm_86,1024,4096,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.700649,1.44039,2.0558,0
2,sm_86,1024,4096,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.729465,1.44015,1.97425,0
2,sm_86,1024,4096,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.812416,1.44024,1.77279,0
2,sm_86,1024,4096,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.917188,1.44014,1.57017,0
2,sm_86,1024,4096,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.929712,1.44006,1.54893,0
2,sm_86,1024,4096,8192,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.957021,1.44011,1.50479,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.064489,0.122045,1.89249,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.0651174,0.122037,1.8741,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.0714032,0.121994,1.70852,0
2,sm_86,768,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.0770173,0.1218,1.58146,0
2,sm_86,768,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.0831341,0.121796,1.46505,0
2,sm_86,768,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.0846205,0.121812,1.4395,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.202832,0.370069,1.82451,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.215444,0.371425,1.724,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.245433,0.370038,1.5077,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.2717,0.369933,1.36155,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.277825,0.370066,1.33201,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.2953,0.370084,1.25325,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.247025,0.364909,1.47722,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.230209,0.364888,1.58503,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.251196,0.364893,1.45263,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.280286,0.364913,1.30193,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.300773,0.364886,1.21316,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.317841,0.364878,1.14799,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.104586,0.204539,1.9557,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.109604,0.204572,1.86647,0
