algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_row,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
4,sm_86,1024,4096,4096,32,4,2,10,0.5,64,64,32,64,64,32,16,8,32,4,0.396834,0.675911,1.70326,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,2,0.176982,0.675989,3.81953,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,3,0.178203,0.674115,3.78286,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,4,0.195044,0.675729,3.4645,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,128,64,32,16,8,32,2,0.654061,0.674119,1.03067,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,128,64,32,16,8,32,3,0.60585,0.676023,1.11583,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,128,64,32,16,8,32,4,0.716605,0.675797,0.943052,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,64,64,32,16,8,32,2,0.212818,0.675167,3.17251,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,64,64,32,16,8,32,3,0.234551,0.674124,2.8741,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,128,64,32,64,64,32,16,8,32,4,0.288193,0.676102,2.34601,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,32,64,32,32,64,32,16,8,32,2,0.352112,0.675954,1.91971,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,32,64,32,32,64,32,16,8,32,3,0.337549,0.67579,2.00205,0
4,sm_86,1024,4096,4096,32,4,2,10,0.5,32,64,32,32,64,32,16,8,32,4,0.375462,0.675998,1.80044,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,32,64,32,16,8,32,2,0.108762,0.675326,6.20919,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,32,64,32,16,8,32,3,0.114374,0.67594,5.9099,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,32,64,32,16,8,32,4,0.127111,0.675894,5.31736,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,64,64,32,16,8,32,2,0.138658,0.675839,4.87414,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,64,64,32,16,8,32,3,0.169306,0.675285,3.98855,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,64,64,32,64,64,32,16,8,32,4,0.209533,0.675927,3.22588,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,32,64,32,16,8,32,2,0.0936422,0.678584,7.24656,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,32,64,32,16,8,32,3,0.094689,0.675234,7.13107,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,32,64,32,16,8,32,4,0.105942,0.675859,6.37949,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,128,64,32,16,8,32,2,0.337662,0.675768,2.00132,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,128,64,32,16,8,32,3,0.318456,0.675691,2.12177,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,128,64,32,16,8,32,4,0.372684,0.675739,1.81317,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,64,64,32,16,8,32,2,0.110557,0.67516,6.10691,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,64,64,32,16,8,32,3,0.123903,0.676097,5.45665,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,128,64,32,64,64,32,16,8,32,4,0.152236,0.674148,4.4283,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,32,64,32,32,64,32,16,8,32,2,0.174523,0.674105,3.86257,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,32,64,32,32,64,32,16,8,32,3,0.174912,0.67614,3.8656,0
4,sm_86,1024,4096,4096,32,4,2,20,0.5,32,64,32,32,64,32,16,8,32,4,0.203135,0.675924,3.32745,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,32,64,32,16,8,32,2,0.060633,0.675869,11.1469,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,32,64,32,16,8,32,3,0.068399,0.675524,9.87621,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,32,64,32,16,8,32,4,0.0745242,0.674111,9.04553,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,64,64,32,16,8,32,2,0.0778938,0.675799,8.67591,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,64,64,32,16,8,32,3,0.0946003,0.674127,7.12605,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,64,64,32,64,64,32,16,8,32,4,0.115089,0.675648,5.87064,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,32,64,32,16,8,32,2,0.0537994,0.67505,12.5475,0
4,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,32,64,32,16,8,32,3,0.0542813,0.675853,12.4509,0
